     ,activation_hidden ,alpha ,batch_size ,epochs ,hidden_layer_sizes ,lambd  ,learning_rate ,learning_rate_init ,nesterov
 198 ,tanh              ,  0.8 ,       1   ,   200 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.0001 ,False
 199 ,logistic          ,  0.8 ,       1.0 ,   800 ,"[30, 30, 30]"     ,1e-05  ,linear_decay  ,            0.1    ,False
 200 ,tanh              ,  0.8 ,      64   ,   200 ,"[30, 30, 30]"     ,0.0001 ,linear_decay  ,            0.001  ,True
 201 ,logistic          ,  0.0 ,      64   ,   800 ,"[30, 30, 30]"     ,0.0001 ,fixed         ,            0.1    ,False
 202 ,logistic          ,  0.8 ,       1   ,   800 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.0001 ,False
 203 ,tanh              ,  0.8 ,      64   ,   200 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.001  ,False
 204 ,logistic          ,  0.8 ,      64   ,   800 ,"[30, 30, 30]"     ,1e-05  ,fixed         ,            0.001  ,False
 205 ,logistic          ,  0.8 ,      64   ,   800 ,"[60, 60]"         ,0.0001 ,linear_decay  ,            0.1    ,False
 206 ,tanh              ,  0.8 ,      64   ,   200 ,"[60, 60]"         ,0.0001 ,fixed         ,            0.001  ,True
 207 ,tanh              ,  0.0 ,       1   ,   200 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.001  ,False
 208 ,logistic          ,  0.0 ,       1   ,   200 ,"[30, 30]"         ,0.0001 ,fixed         ,            0.0005 ,False
 209 ,logistic          ,  0.8 ,       1   ,   800 ,"[30, 30]"         ,0.001  ,fixed         ,            0.0001 ,False
 210 ,tanh              ,  0.8 ,      64   ,   800 ,"[30, 30, 30]"     ,0.0001 ,linear_decay  ,            0.001  ,True
 211 ,logistic          ,  0.8 ,       1   ,   200 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.0001 ,False
 212 ,tanh              ,  0.8 ,      64   ,   800 ,"[30, 30]"         ,1e-05  ,linear_decay  ,            0.001  ,True
 213 ,logistic          ,  0.8 ,       1   ,   200 ,"[30, 30, 30]"     ,0.001  ,fixed         ,            0.0001 ,False
 214 ,logistic          ,  0.8 ,      64   ,   800 ,"[60, 60]"         ,1e-05  ,fixed         ,            0.001  ,True
