,alpha,hidden_layer_sizes,lambd,learning_rate,learning_rate_init,nesterov
373,0.75,"[30, 30, 30]",0.00025,fixed,0.01,False
374,0.85,"[30, 30, 30]",0.00025,fixed,0.006,False
375,0.85,"[30, 30, 30]",0.001,linear_decay,0.04,False
376,0.85,"[30, 30, 30]",5e-05,fixed,0.008,False
377,0.65,"[60, 30]",0.00025,linear_decay,0.04,False
378,0.7,"[60, 30]",0.00025,linear_decay,0.05,True
379,0.85,"[60, 30]",0.0005,fixed,0.01,False
380,0.8,"[60, 30]",0.001,linear_decay,0.04,False
381,0.75,"[30, 30, 30]",0.0001,linear_decay,0.05,True
382,0.9,"[60, 30]",0.0001,fixed,0.004,False
383,0.85,"[60, 30]",0.00025,fixed,0.008,True
384,0.7,"[30, 30, 30]",5e-05,fixed,0.006,True
385,0.8,"[60, 30]",0.0001,fixed,0.008,False
386,0.75,"[30, 30, 30]",0.001,linear_decay,0.08,True
387,0.75,"[60, 30]",0.0005,linear_decay,0.04,False
388,0.75,"[60, 30]",0.001,linear_decay,0.06,False
389,0.8,"[60, 30]",5e-05,fixed,0.006,True
390,0.8,"[30, 30, 30]",0.0001,linear_decay,0.04,True
391,0.7,"[60, 30]",0.0005,linear_decay,0.05,True
392,0.7,"[30, 30, 30]",5e-05,fixed,0.01,True
393,0.65,"[30, 30, 30]",0.0001,linear_decay,0.06,True
394,0.8,"[30, 30, 30]",0.00025,fixed,0.008,True
395,0.75,"[60, 30]",5e-05,fixed,0.01,False
396,0.8,"[30, 30, 30]",0.001,linear_decay,0.12,False
397,0.8,"[60, 30]",0.0001,linear_decay,0.1,True
398,0.6,"[60, 30]",0.0001,linear_decay,0.05,True
399,0.7,"[30, 30, 30]",0.0005,linear_decay,0.06,True
400,0.65,"[60, 30]",0.00025,linear_decay,0.05,True
401,0.7,"[30, 30, 30]",0.0005,linear_decay,0.06,False
402,0.65,"[30, 30, 30]",0.0001,linear_decay,0.08,True
403,0.75,"[60, 30]",0.0001,fixed,0.008,False
404,0.75,"[30, 30, 30]",0.00025,fixed,0.008,False
405,0.9,"[60, 30]",0.00025,fixed,0.004,False
406,0.65,"[30, 30, 30]",0.0005,linear_decay,0.05,False
407,0.8,"[60, 30]",0.0001,fixed,0.006,False
408,0.75,"[30, 30, 30]",0.001,linear_decay,0.06,False
409,0.65,"[30, 30, 30]",0.00025,linear_decay,0.12,True
410,0.8,"[30, 30, 30]",5e-05,fixed,0.008,False
411,0.9,"[60, 30]",0.0001,fixed,0.006,False
412,0.85,"[30, 30, 30]",0.00025,linear_decay,0.06,False
413,0.75,"[60, 30]",0.001,linear_decay,0.1,False
414,0.6,"[60, 30]",0.00025,linear_decay,0.05,False
415,0.9,"[60, 30]",5e-05,fixed,0.008,True
416,0.8,"[60, 30]",5e-05,fixed,0.008,False
417,0.8,"[30, 30, 30]",0.00025,linear_decay,0.08,True
418,0.6,"[60, 30]",0.0005,linear_decay,0.1,True
419,0.6,"[30, 30, 30]",0.0001,linear_decay,0.05,False
420,0.65,"[30, 30, 30]",0.0001,linear_decay,0.12,False
421,0.7,"[30, 30, 30]",0.001,linear_decay,0.04,True
422,0.9,"[30, 30, 30]",0.0005,fixed,0.01,False
423,0.9,"[60, 30]",0.00025,fixed,0.006,False
424,0.6,"[60, 30]",0.00025,linear_decay,0.04,False
425,0.7,"[60, 30]",0.0001,linear_decay,0.04,False
426,0.7,"[30, 30, 30]",0.0001,linear_decay,0.04,True
427,0.6,"[60, 30]",0.0001,linear_decay,0.06,False
428,0.6,"[30, 30, 30]",0.0001,linear_decay,0.06,True
